"filename", "language", "Markdown", "JavaScript", "Ini", "XML", "TypeScript", "JSON", "CSS", "Solidity", "comment", "blank", "total"
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\pages\admin.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\pages\api\hello.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\pages\index.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 5, 67
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\pages\mint.js", "JavaScript", 0, 292, 0, 0, 0, 0, 0, 0, 0, 33, 325
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\public\vercel.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\scripts\contract.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\scripts\devMint.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 1, 3, 35
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\scripts\web3.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\scripts\whitelist.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\scripts\whitelist.json", "JSON", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 75, 0, 0, 11, 86
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\tailwind.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 56, 1, 62
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\test\MyBoredApe.test.js", "JavaScript", 0, 194, 0, 0, 0, 0, 0, 0, 0, 4, 198
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\typings\global.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\utils\interact.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 0, 4, 17, 150
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\utils\move-blocks.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\utils\onboard.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 18, 4, 62
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\utils\verify.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\utils\web3modal.js", "JavaScript", 0, 170, 0, 0, 0, 0, 0, 0, 0, 15, 185
"Total", "-", 12, 2496, 8, 4, 0, 51504, 75, 680, 427, 277, 55483
